,bidder_type,highest_bid,second_highest_bid
443,snipers,3239.2515321745504,2946.9060548258512
444,snipers,3341.879445706759,2259.0977407391088
445,snipers,2662.0391601395386,2505.394389335377
446,snipers,3439.23996230812,2145.7454055911644
447,early_bidders,2097.9731317396477,2097.9731317396477
448,snipers,3203.6381216354425,2685.8614101303647
449,snipers,2596.991950444256,2396.6173522166046
450,snipers,2708.3191156535977,2021.0853526706173
451,snipers,2451.833691727528,2362.7430624935473
452,snipers,2231.014642569867,2153.4976140702092
453,snipers,2657.151616960652,2190.3818920677945
454,snipers,2865.8843303183476,2635.734004727178
455,snipers,2426.651126040851,2094.6653347835627
456,early_bidders,2163.6729723447943,2082.0809660873992
457,snipers,3243.4224145435983,2573.5036486615336
458,snipers,2631.433489340733,1830.9801982991034
459,snipers,3386.364194931756,2629.189103065555
460,snipers,2920.0049158719985,2361.1665424869384
461,snipers,2674.490799429283,2294.446422341179
462,early_bidders,2857.645622140922,2138.4450637312225
463,snipers,3147.4295437028986,2384.517597139541
464,snipers,3016.2238447637105,2676.1647476920784
465,snipers,2543.7424003987644,2274.709203564811
466,early_bidders,2527.894598234495,2515.8040240930463
467,snipers,2705.9039012197486,1829.3008660743972
468,snipers,2304.0378733558305,2037.764435076769
469,snipers,3047.5061669970355,2860.7316947837485
470,snipers,3119.8450444936393,2456.650946170067
471,early_bidders,2964.0264189763416,2312.16175342125
472,snipers,2459.5472581475888,2203.1658702150526
473,early_bidders,1863.6612898682365,1830.23951807809
474,snipers,2476.9918888482944,2374.709753598967
475,early_bidders,2446.2810113954256,2441.3180971470383
476,snipers,2854.15656811893,2715.038897755818
477,snipers,3001.0158296090917,2472.375488900764
478,snipers,2411.830222325503,1979.632846102449
479,snipers,2190.4253044293573,2075.0667559619465
480,snipers,2463.7070263291607,2274.7299390528283
481,snipers,3084.5457106397243,1928.0879671759476
482,snipers,2907.250108159031,1947.3884756248106
483,snipers,2756.34948685552,2503.4345564579453
484,snipers,3180.5619150844304,2431.956247227965
485,snipers,2280.5385517179257,2043.8765910159486
486,snipers,2748.964585327053,2383.2185150757305
487,snipers,2739.3433088400398,2058.6420985086206
488,snipers,3215.0904558513635,2421.536097565601
489,early_bidders,2241.945953129549,2178.9285634173248
490,snipers,3166.2790740880528,2437.216266015159
491,early_bidders,2111.7437217301303,2103.5168694005106
492,snipers,2839.8130510525966,2021.1199548536176
493,snipers,2764.690702092326,2426.0530923821902
494,early_bidders,2487.6775829464973,2181.7593267033594
495,snipers,3112.7173736658488,2885.80533468537
496,snipers,2687.560406902251,2148.5581363801193
497,snipers,3023.688922722178,2171.3804316661463
498,snipers,2666.8310274800397,1946.2096834740641
499,snipers,2381.4565123674724,2073.8092626685548
500,early_bidders,2420.965257181306,2299.062351904241
501,snipers,2176.0566533880165,2174.866591456257
502,early_bidders,2209.6088801205306,2037.2952822459301
503,snipers,2120.202094553805,2038.2135574355334
504,snipers,2700.4768482223217,1857.9658229379302
505,snipers,3306.2634652649867,2742.36335747394
506,snipers,1903.3701441257451,1752.920762963873
507,snipers,2937.8940026315577,2674.412607751426
508,early_bidders,2297.393096039012,2076.3694802201026
509,snipers,2838.635222511278,2105.2045231461266
510,snipers,2734.611065706708,2388.7919268604514
511,snipers,3253.4282398915466,2170.473844540217
512,snipers,2555.598287962226,2139.3314723841613
513,snipers,2606.6012416500835,2019.5228644783842
514,early_bidders,2375.1858982654308,1768.0357817025856
515,snipers,2639.1328669062195,2629.794395772401
516,snipers,2590.4300977897724,2369.8412169250428
517,snipers,2541.268852930824,2075.7784544329793
518,snipers,2598.366688864122,2213.4110950291756
519,snipers,2525.7310899463814,1760.400712307956
520,snipers,2085.616968756506,1998.233957064832
521,snipers,2160.6622115435234,1943.3695652428012
522,snipers,2310.6697692146668,1743.4059271029328
523,snipers,2357.8925574047844,2286.6239865741823
524,snipers,3842.4802382237394,2628.8998664375868
525,snipers,2986.7510723177957,2458.288264372278
526,snipers,3128.222890442108,3084.7610493954
527,early_bidders,2588.5330676901663,2204.3380247269465
528,snipers,3175.348052247623,2328.80388135415
529,snipers,2852.690038501202,2572.6316529349388
530,snipers,2854.6051298270268,2140.662191203937
531,snipers,2667.546533894383,1902.9322096422993
532,early_bidders,3009.853079191566,2177.291635627295
533,snipers,3670.7547093274006,2190.730046355349
534,snipers,2785.279114545325,2443.657177452818
535,snipers,2838.3720356924355,2264.3250319851245
536,snipers,1838.9577048402853,1836.92706910281
537,early_bidders,2538.479389888495,2439.339530781724
538,snipers,2435.331393409717,2246.6107497854323
539,snipers,3858.817202027866,3145.923979385718
540,snipers,2760.615224595943,2320.7427447299806
541,snipers,2000.9071543930145,1862.1392293402496
542,snipers,2623.9047513479236,2062.510758034921
543,snipers,3273.6229853062305,2547.455278264198
544,snipers,3080.836996841881,1992.791218881238
545,snipers,2285.6234731583195,2267.326591807639
546,snipers,2697.8208998399627,2570.970578391796
547,snipers,2498.3380814757143,2373.123192219321
548,snipers,2342.075813911091,2187.696917211097
549,snipers,3514.674183491688,3127.8987686717974
550,snipers,2787.5312210852,2572.975477728811
551,snipers,3506.7784046360684,2353.8187756233165
552,snipers,2369.665694883553,1948.1809876400685
553,snipers,2794.7404126830593,2305.1899072372635
